Аnthroponym in English,Original + transcription,Source ,Century,Historical source,Hagiographical source,Literature,Commentaries
Suren Pahlav,Սուրէն պահլաւ (պալհաւ) [Surēn pahlaw (palhaw)],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 52-55.",A Sasanian hazarapet under the king Vram.
Suren Palhav,Սուրէն պալհաւ [Surēn palhaw],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 310, 311.",A Sasanian commander.
Surmak,Սուրմակ [Surmak],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 52, 53, 100, 101.","A presbyter/priest from the Artske village (in Bznunik region). A bishop, a participant of the Council of Artashat (449)."
Vazgen,Վազգէն [Vazgēn],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 286, 287.","The Georgian bdeshkh, killed by the king Vakhtang during the uprising."
Vakhtang I Gorgasali,Վախթանգ [Vaxtʿang],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 286, 287, 306, 307, 320-325, 354-357.",A king of Iberia in the second half of the 5th and first quarter of the 6th century.
Vahan,Վահան [Vahan],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 154, 155.","Aghvan (Albanian) from the royal family (Arsacids?), who was entrusted with protection of fortifications on the border of Caucasian Albania and the country of the Huns. He was sent to the Huns to convince them to act on the side of the Armenians."
Vahan Amatuni,Վահան Ամատունի [Vahan Amatuni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 84, 85, 100, 101, 108, 109, 138, 139, 148, 149, 176, 177, 198, 199, 204, 205.","An ishkhan, transferred the body of Mesrop Mashtots from the Vagharshapat to Oshakan. A participant of the Council of Artashat (449). He was captivated by order of the Sassanid king Yazdegerd."
Vahan Kamsarakan,Վահան Կամսարական [Vahan Kamsarakan],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 314, 315, 326, 327.",A participant of the uprising of Vahan Mamikonyan.
Vahan Mamikonyan,Վահան Մամիկոնեան [Vahan Mamikonean],"Laz.Parp_Hist.Arm
Laz.Parp_Letter to Vahan Mam.",5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 8, 9, 14-17, 266, 267, 270, 271, 280-291, 294-297, 304-331, 336, 337, 340, 341, 346-381, 384-401, 404, 405, 408-433, 446, 447.",An Armenian nobleman from the Mamikonian family. The leader of the rebel against the Sasanian Empire in 481-484. He was appointed as marzban of Persian Armenia in 485.
Vahram,Վահրամ [Vahram],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 376, 377.",The Persian commander-in-chief (sparapet).
Vahrich,Վահրիճ [Vahrič],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 32, 33.",The messenger of the Armenian king Vramshapukh.
Balash,Վաղարշ [Vałarš],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 382-401, 416-419, 422-433.",The Sasanian King of Kings of Iran from 484 to 488.
Vargosh Gntuni,Վառգոշ Գնթունի [Vaṙgoš Gntʿuni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 304, 305.","Together with Vasak Saharuni, he brought false information to Dvin about the defeat of the Armenian troops in the battle at Akori."
Vasak Artsruni,Վասակ Արծրունի [Vasak Arcruni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 14, 15.",Father of Aghan Artsruni.
Vasak Mamikonyan,Վասակ Մամիկոնեան [Vasak Mamikonean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 266, 267, 290, 291, 294-305, 321, 322, 326-329, 340, 341, 416, 417.","Brother of Vahan Mamikonyan, a participant in the uprising against the Sassanids (481-484 AD)."
Vasak Saharuni,Վասակ Սահառունի [Vasak Sahaṙuni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 304, 305.","Together with Vargosh Gntuni, he brought false information to Dvin about the defeat of the Armenian troops in the battle at Akori."
Vasak Syuni,Վասակ Սիւնի [Vasak Siwni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 86, 87, 100, 101, 108, 109, 128, 129, 132-143, 146-151, 158, 159, 176-183, 194-203, 256, 257.",The prince of Syunik. He took the side of the Persians during the uprising of Vahan Mamikonyan (481-484 AD).
Vasavurt Kaghka,Վասաւուրտ Կարքայ [Vasawurt Karkʿay],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 392, 393.",One of the members of the delegation sent by Vahan Mamikonyan to the Persian commander Nikhor to conclude a peace treaty.
Varazden Araveghyan,Վարազդեն Առաւեղեան [Varazden Aṙawełean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 204, 205.","The nakharar from the Araveghyan family, captivated by order of the Sassanid king Yazdegerd."
Varaznerseh,Վարազներսեհ [Varaznerseh],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 292, 293.","A sepuh from the Urtz, the son of Koghkhtek."
Varaz-Shapuh Amatuni,Վարազ-շապուհ Ամատունի [Varaz-šapuh Amatuni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 292, 293.","The prince from the Amatuni family, who informed the marzpan of Armenia about the upcoming uprising of Vahan Mamikonyan."
Varaz-Shapuh Paluni,Վարազշապուհ Պալունի [Varazšapuh Paluni],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 102, 103, 156, 157, 172, 173.",A participant of the Council of Artashat (449). He took the side of the Sassanids along with Vasak Syuni.
Varazvaghan,Վարազվաղան [Varazvałan],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 86-91, 94, 95, 202, 203.",Son-in-law of Vasak Syuni.
Vardan Mamikonyan,Վարդան Մամիկոնեան [Vardan Mamikonean],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 84, 85, 100, 101, 108-123, 126, 127, 130-143, 146-155, 160-163, 166-171, 176, 177, 190, 191, 196-203, 242, 243, 264-267, 270, 271.","The Armenian commander-in-chief at the Battle of Avarayr in 451 AD, a martyr and a saint of the Armenian Church."
Vardan,Վարդան [Vardan],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 28, 29.",The father of Mesrop Mashtots.
Vard Mamikonyan,Վարդ Մամիկոնեան [Vard Mamikonean],"Laz.Parp_Hist.Arm
Laz.Parp_Letter to Vahan Mam.",5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 266, 267, 290, 291, 316-321, 472, 473.",Brother of Vardan Mamikonyan. He was captivated by the Persians.
Vardza,Վարձայ [Varjay],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 204, 205.","The nakharar from the Kamsarakan family, captivated by order of the Sassanid king Yazdegerd."
Vehdenshapuh,Վեհդենշապուհ [Vehdenšapuh],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 208-213, 218, 219, 222-237, 240, 241, 244-247, 250-255.",See Denshapuh.
Vehshapuh,Վեհշապուհ [Vehšapuh],Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 150, 151.","The Persian senekapan, then dprapet."
Vehvehnam,"Վեհվեհնամ, Վեհ-Վեհնամ [Vehvehnam, Veh-Vehnam]",Laz.Parp_Hist.Arm,5th,V,,"Ղազար Փարպեցի. Հայոց պատմություն; Թուղթ Վահան Մամիկոնյանին / Քննական բնագիրը Գ. Տեր-Մկրտչյանի և Ստ. Մալխասյանցի; Աշխարհաբար թարգմ. և ծանոթագր. Բ Ուլուբաբյանի. - Եր.: Երևանի համալս. հրատ., 1982. - Էջ 286, 287, 398, 399.",A hazarapet of Armenia.
